s,trip_seconds,trip_miles,fare,tips,tolls,trip_total,payment_type
290,720.0,4.4,11.65,0.0,0.0,12.65,1
291,0.0,0.0,13.0,2.6,0.0,15.6,1
292,840.0,6.1,17.75,3.55,0.0,21.3,1
293,180.0,0.0,4.5,2.0,0.0,7.5,1
294,1860.0,0.9,38.0,8.4,0.0,50.4,1
295,120.0,40.0,4.25,0.0,0.0,4.25,0
296,0.0,0.0,3.25,0.0,0.0,3.25,0
297,1560.0,13.5,35.5,4.0,0.0,43.5,1
298,240.0,0.8,5.5,2.0,0.0,7.5,1
299,720.0,0.0,9.75,0.0,0.0,9.75,2
300,600.0,0.1,8.75,0.0,0.0,8.75,0
301,420.0,0.0,6.75,2.0,0.0,9.75,1
302,240.0,0.9,5.5,0.0,0.0,5.5,0
303,960.0,5.0,16.0,0.0,0.0,16.0,0
304,480.0,1.4,7.5,0.0,0.0,7.5,0
305,480.0,3.2,11.0,0.0,0.0,11.0,0
306,540.0,2.1,8.75,1.0,0.0,9.75,1
307,540.0,0.8,6.75,3.0,0.0,9.75,1
308,540.0,1.32,7.5,0.0,0.0,7.5,0
309,360.0,0.0,5.25,1.0,0.0,6.25,1
310,600.0,0.0,8.65,0.0,0.0,8.65,0
311,300.0,0.6,5.25,0.0,0.0,6.75,0
312,120.0,0.4,4.25,2.0,0.0,7.25,1
313,660.0,0.2,13.25,0.0,0.0,13.25,2
314,660.0,3.0,11.0,0.0,0.0,11.0,0
315,240.0,0.8,5.5,2.0,0.0,7.5,1
316,0.0,0.0,6.65,1.33,0.0,7.98,1
317,360.0,0.0,6.5,0.0,0.0,6.5,0
318,1740.0,0.8,35.75,0.0,0.0,37.25,1
319,360.0,0.7,5.75,2.0,0.0,7.75,1
320,660.0,0.0,10.25,0.0,0.0,14.25,0
321,600.0,2.0,8.05,0.0,0.0,8.05,0
322,720.0,2.1,9.5,2.3,0.0,13.8,1
323,0.0,0.0,5.25,1.05,0.0,6.3,1
324,1680.0,15.8,39.75,8.75,0.0,52.5,1
325,720.0,0.2,12.0,0.0,0.0,12.0,0
326,480.0,110.0,7.0,1.0,0.0,8.0,1
327,480.0,1.8,8.5,2.0,0.0,10.5,1
328,300.0,0.6,5.5,0.0,0.0,5.5,0
329,960.0,5.6,17.25,5.45,0.0,23.7,1
330,300.0,0.9,6.0,1.0,0.0,7.0,1
331,1200.0,0.4,20.25,0.0,0.0,20.25,0
332,1680.0,14.7,37.5,10.37,0.0,51.87,1
333,1560.0,17.2,42.75,8.55,0.0,51.3,1
334,0.0,0.0,6.0,1.0,0.0,7.0,1
335,540.0,0.8,6.75,3.0,0.0,9.75,1
336,240.0,0.5,5.0,3.0,0.0,8.0,1
337,420.0,1.3,6.65,0.0,0.0,6.65,0
338,300.0,1.2,5.85,1.0,0.0,6.85,1
339,540.0,3.3,11.75,0.0,0.0,11.75,0
340,1140.0,8.9,24.5,4.9,0.0,29.4,1
341,840.0,4.4,13.75,0.0,0.0,13.75,0
342,540.0,1.5,7.75,1.5,0.0,9.25,1
343,900.0,3.3,12.25,0.0,0.0,12.25,0
344,360.0,1.0,6.25,0.0,0.0,6.25,0
345,660.0,1.9,8.75,3.0,0.0,11.75,1
